user_id,item_id,rating,date
2369,7762,3,10/5/2000 0:00
3794,2985,5,12/6/2000 0:00
3794,8245,5,12/12/2000 0:00
2525,8521,0,12/13/2000 0:00
1773,649,4,2/1/2001 0:00
6702,3084,4,3/26/2001 0:00
10332,3083,5,5/29/2001 0:00
9690,8369,4,6/1/2001 0:00
10678,8956,4,6/11/2001 0:00
10896,9366,5,6/11/2001 0:00
4546,6444,4,6/12/2001 0:00
2625,9242,0,6/26/2001 0:00
5362,7776,4,7/5/2001 0:00
1634,8729,2,7/5/2001 0:00
10896,1155,5,7/5/2001 0:00
12200,10019,0,7/9/2001 0:00
12200,10087,0,7/9/2001 0:00
11811,42917,4,7/9/2001 0:00
11811,9988,5,7/12/2001 0:00
11697,7237,1,7/17/2001 0:00
11044,7762,2,7/30/2001 0:00
14880,10831,3,8/15/2001 0:00
2178,9943,4,8/21/2001 0:00
14532,3020,0,8/23/2001 0:00
16758,10985,3,9/6/2001 0:00
14059,10756,4,9/10/2001 0:00
14059,7915,4,9/10/2001 0:00
18862,11223,5,9/11/2001 0:00
19008,10276,5,9/13/2001 0:00
16140,11611,5,9/16/2001 0:00
19008,10300,5,9/23/2001 0:00
19702,11459,5,9/23/2001 0:00
18977,6754,5,9/24/2001 0:00
18977,9464,5,9/24/2001 0:00
19043,11106,4,9/26/2001 0:00
19895,540,3,9/26/2001 0:00
13670,11223,5,9/28/2001 0:00
19924,4197,5,9/28/2001 0:00
17344,9242,4,10/1/2001 0:00
15609,12195,5,10/1/2001 0:00
17721,10184,5,10/1/2001 0:00
19043,4928,4,10/12/2001 0:00
5523,8652,0,10/18/2001 0:00
12716,9803,4,10/19/2001 0:00
21618,12803,5,10/20/2001 0:00
10216,9945,4,10/22/2001 0:00
16758,11100,1,10/22/2001 0:00
10216,12948,5,10/23/2001 0:00
21034,5386,4,10/23/2001 0:00
20075,11214,5,10/24/2001 0:00
16140,13112,4,10/25/2001 0:00
2555,4867,0,11/1/2001 0:00
19803,5414,5,11/5/2001 0:00
14583,13690,4,11/6/2001 0:00
14880,328,5,11/6/2001 0:00
22644,13173,5,11/8/2001 0:00
23293,12554,5,11/10/2001 0:00
21641,13064,4,11/12/2001 0:00
16827,10329,4,11/13/2001 0:00
15368,1857,3,11/13/2001 0:00
15385,12876,4,11/13/2001 0:00
16459,12972,5,11/20/2001 0:00
16676,13628,5,11/21/2001 0:00
12666,13257,5,11/23/2001 0:00
22868,8653,4,11/23/2001 0:00
24230,14509,4,11/26/2001 0:00
21627,490,5,11/29/2001 0:00
25267,9471,4,12/4/2001 0:00
8000,7804,5,12/7/2001 0:00
25656,12972,5,12/8/2001 0:00
25690,13403,5,12/8/2001 0:00
25656,12944,5,12/8/2001 0:00
20895,13374,0,12/15/2001 0:00
13670,15758,5,12/15/2001 0:00
21730,15797,5,12/16/2001 0:00
23913,14477,5,12/18/2001 0:00
23866,16022,5,12/22/2001 0:00
25925,329,4,12/23/2001 0:00
20160,4662,4,12/23/2001 0:00
22278,989,4,12/23/2001 0:00
14433,9818,4,12/25/2001 0:00
27122,13374,5,12/26/2001 0:00
23728,8929,5,12/27/2001 0:00
22001,4119,4,12/28/2001 0:00
27720,16362,5,1/2/2002 0:00
7802,12601,4,1/2/2002 0:00
27348,15910,5,1/2/2002 0:00
27348,15932,5,1/2/2002 0:00
21613,10895,4,1/3/2002 0:00
6923,16637,3,1/5/2002 0:00
23728,6562,5,1/9/2002 0:00
12118,10112,0,1/9/2002 0:00
26942,15931,3,1/17/2002 0:00
9121,15007,5,1/17/2002 0:00
19924,6890,5,1/18/2002 0:00
27385,17015,5,1/21/2002 0:00
29271,16691,5,1/21/2002 0:00
20895,672,4,1/23/2002 0:00
19593,17845,5,1/25/2002 0:00
13301,10737,5,1/27/2002 0:00
23394,2122,4,1/28/2002 0:00
15609,17190,3,1/29/2002 0:00
21730,18428,4,1/31/2002 0:00
22001,4929,4,2/1/2002 0:00
20160,17750,0,2/2/2002 0:00
30022,18658,4,2/2/2002 0:00
26268,18654,5,2/4/2002 0:00
24183,15881,4,2/5/2002 0:00
29203,5275,0,2/6/2002 0:00
29020,9818,5,2/10/2002 0:00
11543,4343,4,2/10/2002 0:00
29241,3611,5,2/10/2002 0:00
20159,6994,3,2/10/2002 0:00
30661,18569,4,2/10/2002 0:00
30551,14512,4,2/10/2002 0:00
14613,14769,5,2/10/2002 0:00
30661,12164,5,2/10/2002 0:00
27385,11184,4,2/11/2002 0:00
30022,11459,5,2/13/2002 0:00
10271,19466,5,2/13/2002 0:00
25925,19219,4,2/14/2002 0:00
30875,16248,0,2/15/2002 0:00
21107,5321,4,2/18/2002 0:00
11295,5086,5,2/19/2002 0:00
31525,17022,0,2/19/2002 0:00
28120,16375,4,2/21/2002 0:00
31558,9229,0,2/24/2002 0:00
11498,8321,0,2/24/2002 0:00
18649,16578,4,2/24/2002 0:00
31445,16270,4,2/27/2002 0:00
21107,20252,1,2/28/2002 0:00
31460,20260,4,2/28/2002 0:00
24183,18142,4,3/1/2002 0:00
18931,18615,4,3/1/2002 0:00
32767,7022,4,3/4/2002 0:00
29361,13506,5,3/4/2002 0:00
31460,18958,4,3/4/2002 0:00
31883,19720,4,3/5/2002 0:00
32781,10193,5,3/6/2002 0:00
10649,15666,5,3/6/2002 0:00
28671,18126,3,3/8/2002 0:00
6651,12129,3,3/12/2002 0:00
26268,19906,5,3/12/2002 0:00
30340,19048,5,3/12/2002 0:00
23293,21856,5,3/12/2002 0:00
34663,21949,4,3/13/2002 0:00
28029,7144,4,3/15/2002 0:00
33270,22679,5,3/17/2002 0:00
25483,22160,4,3/20/2002 0:00
34141,18768,4,3/20/2002 0:00
11613,20952,3,3/20/2002 0:00
6338,4675,3,3/20/2002 0:00
5929,17351,5,3/22/2002 0:00
31803,2726,4,3/22/2002 0:00
34168,23013,5,3/22/2002 0:00
11613,20596,0,3/22/2002 0:00
28671,22800,5,3/22/2002 0:00
32665,11351,3,3/22/2002 0:00
3288,22381,5,3/24/2002 0:00
20114,14859,5,3/26/2002 0:00
34687,21717,4,3/26/2002 0:00
4910,22923,4,3/27/2002 0:00
9328,22854,0,3/28/2002 0:00
7456,10557,3,3/28/2002 0:00
28035,15910,5,3/28/2002 0:00
34280,18985,3,3/28/2002 0:00
5088,23881,4,3/29/2002 0:00
36670,21358,5,4/1/2002 0:00
36670,16749,5,4/1/2002 0:00
30471,209,3,4/1/2002 0:00
35414,17942,0,4/1/2002 0:00
35668,19406,5,4/1/2002 0:00
31767,9719,4,4/3/2002 0:00
25356,13280,3,4/3/2002 0:00
13301,20075,5,4/3/2002 0:00
22086,15643,5,4/5/2002 0:00
32198,12285,5,4/5/2002 0:00
30854,14905,5,4/5/2002 0:00
29651,24330,5,4/7/2002 0:00
28201,24252,5,4/7/2002 0:00
27707,16244,0,4/8/2002 0:00
30715,21019,3,4/9/2002 0:00
25356,10997,4,4/10/2002 0:00
33188,13756,5,4/11/2002 0:00
34687,24059,4,4/11/2002 0:00
37215,3335,4,4/12/2002 0:00
37758,18990,5,4/12/2002 0:00
4910,18990,4,4/12/2002 0:00
29177,8944,5,4/13/2002 0:00
27624,25073,5,4/14/2002 0:00
21121,15513,4,4/14/2002 0:00
26278,25498,0,4/17/2002 0:00
36449,17879,3,4/17/2002 0:00
25512,18269,5,4/17/2002 0:00
38327,24631,5,4/20/2002 0:00
35523,20068,5,4/23/2002 0:00
36777,10884,4,4/23/2002 0:00
36532,4061,5,4/24/2002 0:00
23302,22413,5,4/24/2002 0:00
15645,24773,4,4/29/2002 0:00
4546,21134,5,4/30/2002 0:00
10271,18946,0,4/30/2002 0:00
35848,18303,5,5/2/2002 0:00
21487,15694,5,5/2/2002 0:00
29291,24969,5,5/2/2002 0:00
38485,24958,4,5/4/2002 0:00
22922,13439,5,5/4/2002 0:00
24323,16749,4,5/6/2002 0:00
38405,27087,3,5/7/2002 0:00
20855,26443,5,5/8/2002 0:00
21613,22812,5,5/9/2002 0:00
40122,22774,3,5/9/2002 0:00
21656,27651,5,5/9/2002 0:00
40584,27678,4,5/13/2002 0:00
39823,24631,5,5/13/2002 0:00
34710,6856,3,5/13/2002 0:00
39103,15217,5,5/13/2002 0:00
29291,27599,5,5/13/2002 0:00
32767,24957,4,5/13/2002 0:00
31900,7821,5,5/13/2002 0:00
24995,17182,4,5/13/2002 0:00
36334,8907,3,5/15/2002 0:00
31558,16052,5,5/16/2002 0:00
40473,22814,4,5/19/2002 0:00
31663,16749,4,5/20/2002 0:00
14042,4860,3,5/22/2002 0:00
37947,25089,0,5/22/2002 0:00
3288,21905,4,5/23/2002 0:00
40103,7581,4,5/24/2002 0:00
40122,25089,5,5/27/2002 0:00
39857,28293,5,5/27/2002 0:00
24235,27624,4,5/27/2002 0:00
42429,20260,5,5/30/2002 0:00
39512,28565,4,5/30/2002 0:00
28846,21924,4,5/31/2002 0:00
37513,29360,3,5/31/2002 0:00
41480,27565,5,5/31/2002 0:00
39653,7887,4,5/31/2002 0:00
28215,8736,5,6/2/2002 0:00
27442,1560,5,6/2/2002 0:00
40533,18805,5,6/2/2002 0:00
41529,29825,0,6/3/2002 0:00
40151,18127,5,6/3/2002 0:00
32643,25256,4,6/4/2002 0:00
40497,20841,5,6/4/2002 0:00
30893,25495,5,6/4/2002 0:00
41564,27651,4,6/4/2002 0:00
42955,19969,3,6/5/2002 0:00
42361,19357,4,6/5/2002 0:00
15404,22085,4,6/5/2002 0:00
29212,30206,5,6/6/2002 0:00
41560,29073,4,6/6/2002 0:00
12099,13927,5,6/8/2002 0:00
43200,24383,5,6/8/2002 0:00
43150,22152,0,6/8/2002 0:00
41338,29819,5,6/8/2002 0:00
26794,29223,4,6/10/2002 0:00
42955,11611,4,6/10/2002 0:00
40473,23464,5,6/10/2002 0:00
41912,11459,5,6/10/2002 0:00
42147,11017,4,6/10/2002 0:00
43921,20937,5,6/12/2002 0:00
40767,22869,5,6/12/2002 0:00
41564,27426,4,6/12/2002 0:00
42661,30286,4,6/13/2002 0:00
44393,19910,3,6/13/2002 0:00
21274,29998,5,6/13/2002 0:00
10394,7464,2,6/14/2002 0:00
